0,84,94,77,39,74,85,9,22,67,61,95,75,52,36,11,50,5,97,2,47,7,58,47,60,84,87,38,25,48
84,0,64,17,26,48,89,99,46,78,93,39,79,94,47,4,19,9,6,3,39,55,10,19,75,1,90,12,20,31
94,64,0,86,66,97,47,6,51,31,8,1,64,64,19,49,75,35,30,92,91,77,5,25,25,11,39,9,36,59
77,17,86,0,19,6,25,20,33,81,69,72,64,3,80,5,57,67,24,59,76,93,90,75,5,21,25,21,49,24
39,26,66,19,0,25,45,48,26,16,88,22,26,7,9,82,79,59,14,52,91,19,36,73,69,20,97,91,86,5
74,48,97,6,25,0,13,3,74,13,90,66,77,54,47,30,65,19,72,28,11,26,3,52,61,43,69,92,93,16
85,89,47,25,45,13,0,22,73,7,22,92,5,28,84,22,43,7,57,5,35,72,99,13,76,7,14,44,54,65
9,99,6,20,48,3,22,0,36,20,24,44,15,76,19,92,95,15,15,6,74,61,46,85,25,35,13,36,76,67
22,46,51,33,26,74,73,36,0,19,80,81,17,10,34,33,31,92,23,79,85,24,90,46,50,100,8,76,4,76
67,78,31,81,16,13,7,20,19,0,25,77,15,69,35,36,30,53,38,69,89,54,76,67,7,58,15,71,71,83
61,93,8,69,88,90,22,24,80,25,0,37,51,86,75,26,18,55,94,41,55,95,81,28,95,56,71,49,91,72
95,39,1,72,22,66,92,44,81,77,37,0,49,19,21,3,27,15,94,40,59,48,63,14,82,38,7,49,53,75
75,79,64,64,26,77,5,15,17,15,51,49,0,15,73,34,75,65,22,83,7,53,92,68,81,39,13,93,20,85
52,94,64,3,7,54,28,76,10,69,86,19,15,0,78,20,30,78,7,87,34,22,84,35,21,3,2,51,35,50
36,47,19,80,9,47,84,19,34,35,75,21,73,78,0,89,29,86,41,42,51,2,26,25,63,15,24,16,97,5
11,4,49,5,82,30,22,92,33,36,26,3,34,20,89,0,35,7,90,54,83,54,58,24,52,48,88,70,75,85
50,19,75,57,79,65,43,95,31,30,18,27,75,30,29,35,0,20,88,5,33,63,7,13,32,78,11,87,22,63
5,9,35,67,59,19,7,15,92,53,55,15,65,78,86,7,20,0,78,6,80,63,35,68,16,6,90,84,89,20
97,6,30,24,14,72,57,15,23,38,94,94,22,7,41,90,88,78,0,91,87,51,22,75,41,62,83,69,34,55
2,3,92,59,52,28,5,6,79,69,41,40,83,87,42,54,5,6,91,0,94,29,42,69,19,1,37,76,55,85
47,39,91,76,91,11,35,74,85,89,55,59,7,34,51,83,33,80,87,94,0,72,86,88,24,13,50,37,37,6
7,55,77,93,19,26,72,61,24,54,95,48,53,22,2,54,63,63,51,29,72,0,67,53,26,71,15,33,89,48
58,10,5,90,36,3,99,46,90,76,81,63,92,84,26,58,7,35,22,42,86,67,0,19,92,100,73,88,99,97
47,19,25,75,73,52,13,85,46,67,28,14,68,35,25,24,13,68,75,69,88,53,19,0,5,4,69,32,65,29
60,75,25,5,69,61,76,25,50,7,95,82,81,21,63,52,32,16,41,19,24,26,92,5,0,29,27,90,60,53
84,1,11,21,20,43,7,35,100,58,56,38,39,3,15,48,78,6,62,1,13,71,100,4,29,0,18,42,30,57
87,90,39,25,97,69,14,13,8,15,71,7,13,2,24,88,11,90,83,37,50,15,73,69,27,18,0,81,27,96
38,12,9,21,91,92,44,36,76,71,49,49,93,51,16,70,87,84,69,76,37,33,88,32,90,42,81,0,59,38
25,20,36,49,86,93,54,76,4,71,91,53,20,35,97,75,22,89,34,55,37,89,99,65,60,30,27,59,0,65
48,31,59,24,5,16,65,67,76,83,72,75,85,50,5,85,63,20,55,85,6,48,97,29,53,57,96,38,65,0
